Ohmic  Value 1st  Significant  Digit 2nd  Significant  Digit 3rd  Significant  Digit Multiplier Tolerance
['4700',  '5'] yellow violet red  gold
['1000',  '5'] brown black orange  gold
['150',  '5'] brown green brown  gold
['3300',  '5'] orange orange red  gold
['470',  '2'] yellow violet brown  red
['3k3',  '5'] orange green gold  gold
['150',  '1'] brown black brown  brown
['10m',  '10'] brown red violet  silver
['1',  '1'] brown red black  brown
['1200',  '5'] brown violet red  gold
['220',  '1'] red white brown  brown
['47',  '5'] yellow black black  gold
['3900',  '2'] orange green red  red
['10k',  '5'] brown black brown  gold
['1500',  '2'] brown black red  red
['1m',  '10'] brown red blue  silver
['1.8',  '2'] brown violet gold  red
['2k76',  '1'] red black blue 0 brown
['100',  '2'] brown white red  red
['22',  '1'] red orange black  brown
['270',  '5'] red white brown  gold
['10',  '1'] brown black brown  brown
['1  mega',  '5'] brown black black  gold
['3m9',  '20'] orange blue green  none
['1k2',  '5'] brown violet gold  gold
['3300',  '2'] orange yellow red  red
['390',  '5'] orange  brown  gold
['100.000',  '5'] brown  red  gold
['10.000',  '5'] brown  brown  gold
['56k',  '5'] green  black  gold
['470k',  '1'] yellow  brown  brown
['2.2',  '1'] red  gold  brown
['94.1k',  '2'] white  brown gold red
